iter	Passed	Remaining
886	1149	146
887	1150	145
888	1151	143
889	1153	142
890	1154	141
891	1155	139
892	1156	138
893	1157	137
894	1158	135
895	1160	134
896	1161	133
897	1162	132
898	1163	130
899	1165	129
900	1166	128
901	1167	126
902	1168	125
903	1169	124
904	1170	122
905	1172	121
906	1173	120
907	1174	119
908	1175	117
909	1177	116
910	1178	115
911	1179	113
912	1180	112
913	1181	111
914	1182	109
915	1184	108
916	1185	107
917	1186	105
918	1187	104
919	1188	103
920	1190	102
921	1191	100
922	1192	99
923	1193	98
924	1194	96
925	1195	95
926	1196	94
927	1197	92
928	1198	91
929	1199	90
930	1200	89
931	1201	87
932	1202	86
933	1203	85
934	1204	83
935	1206	82
936	1207	81
937	1208	79
938	1209	78
939	1210	77
940	1211	75
941	1212	74
942	1213	73
943	1215	72
944	1216	70
945	1217	69
946	1218	68
947	1219	66
948	1221	65
949	1222	64
950	1223	63
951	1224	61
952	1225	60
953	1227	59
954	1228	57
955	1229	56
956	1231	55
957	1232	54
958	1233	52
959	1234	51
960	1235	50
961	1237	48
962	1238	47
963	1239	46
964	1240	44
965	1241	43
966	1243	42
967	1244	41
968	1245	39
969	1246	38
970	1247	37
971	1248	35
972	1249	34
973	1251	33
974	1252	32
975	1253	30
976	1254	29
977	1256	28
978	1257	26
979	1258	25
980	1259	24
981	1260	23
982	1261	21
983	1263	20
984	1264	19
985	1265	17
986	1266	16
987	1267	15
988	1269	14
989	1271	12
990	1272	11
991	1273	10
992	1274	8
993	1275	7
994	1276	6
995	1276	5
996	1277	3
997	1278	2
998	1279	1
999	1280	0
